"Name","Loyalty to political group","Loyalty to national party","Participation in roll-call votes","","",""
"TAVARES","88.89","0.00","88.85","609","754","309"
"SIMPSON","88.93","99.03","90.19","608","241","260"
"McAVAN","88.94","97.77","84.94","607","500","451"
"WEIDENHOLZER","88.99","97.97","84.38","606","465","465"
"VAUGHAN","89.08","98.05","94.45","605","449","85"
"HARKIN","89.24","0.00","88.88","604","754","308"
"MARTIN","89.25","96.95","93.00","602","613","151"
"TSOUKALAS","89.25","95.93","74.46","602","681","649"
"STIHLER","89.31","98.65","86.41","601","327","401"
"BILBAO BARANDICA","89.36","100.00","95.82","600","1","46"
"MORAES","89.45","97.99","78.57","599","462","594"
"DELVAUX","89.46","100.00","95.13","598","1","62"
"HONEYBALL","89.56","98.06","89.69","597","446","277"
"ZELLER","89.67","90.33","89.67","596","740","278"
"STREJČEK","89.68","93.35","88.42","595","728","328"
"RINALDI","89.99","0.00","83.22","594","754","497"
"GOULARD","90.00","95.69","80.72","593","686","554"
"POUPAKIS","90.32","97.81","80.43","592","491","560"
"CASHMAN","90.48","98.79","70.02","591","296","675"
"ABELA BALDACCHINO","90.49","99.12","87.43","590","221","363"
"BERMAN","90.51","96.92","87.99","589","621","344"
"DE MARTINI","90.63","63.14","61.09","588","753","733"
"HUGHES","90.76","97.44","85.98","587","546","416"
"REIMERS","90.77","97.55","96.60","586","538","29"
"THEIN","90.80","96.72","93.19","585","640","142"
"PAPASTAMKOS","90.96","97.72","54.03","584","509","748"
"KLINZ","91.04","97.59","80.32","583","535","563"
"ANDERSDOTTER","91.11","100.00","75.87","582","1","636"
"JÄÄTTEENMÄKI","91.20","97.62","82.70","581","529","513"
"HIRSCH","91.24","95.29","83.42","580","702","491"
"LAMBSDORFF","91.25","95.28","78.52","579","704","595"
"MOREIRA","91.35","93.00","87.23","578","732","371"
"FAJMON","91.44","95.33","90.86","577","699","228"
"CHOUNTIS","91.45","100.00","85.38","576","1","441"
"ROHDE","91.57","97.87","80.35","575","480","562"
"MIZZI","91.59","98.26","86.46","574","401","396"
"CREUTZMANN","91.64","97.28","91.19","573","565","212"
"CASTEX","91.68","95.11","87.89","572","708","348"
"KOUMOUTSAKOS","91.69","97.79","72.09","571","496","664"
"THEURER","91.70","96.42","81.78","570","653","534"
"TURUNEN","91.79","99.18","83.26","569","214","496"
"KRATSA-TSAGAROPOULOU","91.81","97.71","78.39","568","511","600"
"DEHAENE","91.83","98.12","40.61","567","431","761"
"CHATZIMARKAKIS","91.84","93.76","80.02","566","724","571"
"LANGE","91.86","98.39","76.99","565","376","624"
"REGNER","91.88","98.35","91.42","564","387","207"
"GIANNAKOU","91.96","98.82","84.40","563","286","464"
"SCHOLZ","92.01","96.98","94.31","562","606","91"
"ANGELILLI","92.06","94.49","93.92","560","719","106"
"ROTH-BEHRENDT","92.06","94.77","64.95","560","715","716"
"ATTARD-MONTALTO","92.08","96.81","57.68","559","633","743"
"ARLACCHI","92.10","94.01","78.41","558","723","598"
"EPPINK","92.12","100.00","71.93","557","1","666"
"ERNST","92.14","97.01","85.89","556","598","421"
"JOHANSSON","92.19","100.00","93.62","555","1","123"
"MITCHELL","92.24","99.16","88.16","554","218","336"
"ALVARO","92.25","94.96","61.57","553","711","729"
"KASTLER","92.26","95.32","90.22","552","700","259"
"IOVINE","92.32","96.40","75.79","551","657","637"
"GIEREK","92.36","100.00","95.91","550","1","40"
"COELHO","92.37","95.85","92.23","549","683","175"
"OOMEN-RUIJTEN","92.55","97.27","83.52","548","567","484"
"KADENBACH","92.59","98.65","94.66","547","327","76"
"MERKIES","92.66","98.32","91.44","546","392","206"
"BOKROS","92.68","100.00","62.10","544","1","726"
"RIES","92.68","100.00","90.04","544","1","264"
"RUBIKS","92.69","100.00","94.00","543","1","104"
"WILS","92.73","92.04","87.00","542","735","385"
"KORHOLA","92.78","96.71","85.98","540","641","416"
"SIWIEC","92.78","93.15","78.38","540","730","601"
"FALBR","92.79","93.31","75.29","539","729","643"
"LÖSING","92.82","92.05","86.65","538","734","392"
"NICOLAI","92.86","94.70","85.20","537","718","445"
"McGUINNESS","92.87","98.72","86.44","536","311","398"
"DESS","92.88","95.18","98.51","535","705","5"
"FLORENZ","92.89","93.02","75.59","534","731","640"
"NISTELROOIJ","92.94","98.55","80.58","533","346","556"
"KOZLÍK","92.97","100.00","77.49","532","1","617"
"LYON","93.01","96.11","81.02","531","672","546"
"CAMP","93.02","98.78","93.89","530","299","107"
"ENGEL","93.08","97.00","87.19","529","601","374"
"BOZKURT","93.09","99.38","88.52","527","180","322"
"MEISSNER","93.09","98.20","88.82","527","419","311"
"LØKKEGAARD","93.10","99.27","84.01","526","196","474"
"SCHMIDT","93.14","98.87","94.37","525","275","88"
"DE VEYRAC","93.15","97.69","89.33","524","516","295"
"McMILLAN-SCOTT","93.16","96.59","73.42","523","644","658"
"WIKSTRÖM","93.21","98.00","89.01","522","457","305"
"GOERENS","93.22","100.00","89.47","521","1","287"
"HÄNDEL","93.23","97.83","76.37","518","488","630"
"PAPANIKOLAOU","93.23","98.62","82.57","518","332","516"
"VLASÁK","93.23","96.11","94.20","518","672","95"
"CAVADA","93.27","98.71","90.98","517","316","223"
"CUSCHIERI","93.30","98.38","89.32","516","380","296"
"HIGGINS","93.36","98.18","88.49","514","420","325"
"POC","93.36","94.20","96.72","514","721","28"
"KELLY","93.37","98.21","96.94","512","416","25"
"MASIP HIDALGO","93.37","96.35","79.92","512","660","575"
"KLUTE","93.40","96.98","89.51","510","606","283"
"PAULSEN","93.40","98.76","93.02","510","306","150"
"KOŽUŠNÍK","93.47","97.66","80.07","508","522","569"
"ZÁBORSKÁ","93.47","100.00","93.05","508","1","147"
"PIEPER","93.49","94.24","90.65","507","720","237"
"VULJANIĆ","93.53","100.00","80.85","506","1","550"
"MEYER","93.54","100.00","74.21","505","1","650"
"COSTA","93.55","94.20","77.32","504","721","619"
"SARVAMAA","93.57","97.76","90.13","502","502","261"
"TREMOSA i BALCELLS","93.57","100.00","91.01","502","1","221"
"JENSEN","93.59","99.12","85.96","501","221","418"
"BECKER","93.61","98.50","93.95","500","355","105"
"HOHLMEIER","93.64","96.83","93.05","499","631","147"
"COTTIGNY","93.65","98.21","87.93","498","416","347"
"ARSENIS","93.69","0.00","77.20","497","754","620"
"THOMAS","93.74","98.01","87.54","496","454","358"
"PIRKER","93.76","99.14","95.02","494","219","66"
"VAN BREMPT","93.76","100.00","90.98","494","1","223"
"GROSCH","93.78","100.00","87.70","492","1","355"
"SEEBER","93.78","98.95","97.04","492","259","23"
"ZALEWSKI","93.80","96.46","82.47","491","651","518"
"KARAS","93.82","99.06","85.32","490","231","442"
"TĂNĂSESCU","93.83","98.07","94.14","489","440","98"
"LUDFORD","93.85","97.22","93.72","488","573","117"
"GARCÍA-HIERRO CARABALLO","93.87","97.45","84.42","487","545","463"
"RÜBIG","93.88","98.97","95.86","486","250","44"
"KAMMEREVERT","93.89","96.97","90.09","485","609","262"
"BALZANI","93.90","94.84","71.40","484","714","669"
"HANNAN","93.92","95.06","76.34","483","709","631"
"KREISSL-DÖRFLER","93.93","96.73","78.37","481","638","602"
"OJULAND","93.93","97.00","84.59","481","601","459"
"KOCH-MEHRIN","93.98","95.41","60.68","480","696","735"
"STAUNER","94.07","95.57","94.35","479","691","90"
"ZAHRADIL","94.08","97.85","79.30","478","485","585"
"SENYSZYN","94.09","97.79","91.60","476","496","203"
"TRAUTMANN","94.09","99.22","88.06","476","206","341"
"THYSSEN","94.12","99.02","83.36","475","242","492"
"ROITHOVÁ","94.13","100.00","95.39","474","1","57"
"TOŠENOVSKÝ","94.14","97.61","89.48","473","531","286"
"NITRAS","94.15","96.37","83.51","472","659","487"
"ELLES","94.16","95.15","67.59","471","707","698"
"POSSELT","94.17","94.89","93.41","469","713","134"
"TOIA","94.17","94.93","78.91","469","712","589"
"KÖSTINGER","94.20","99.28","98.06","468","194","9"
"CABRNOCH","94.22","97.23","69.76","466","571","679"
"TABAJDI","94.22","96.30","88.26","466","664","333"
"IRAZABALBEITIA FERNÁNDEZ","94.23","100.00","89.07","465","1","303"
"JÁRÓKA","94.25","96.94","68.25","463","615","690"
"OUZKÝ","94.25","96.82","69.83","463","632","678"
"BOWLES","94.29","97.35","87.98","461","558","346"
"SONIK","94.29","96.63","89.51","461","643","283"
"EL KHADRAOUI","94.31","100.00","95.99","459","1","37"
"ITURGAIZ ANGULO","94.31","97.01","74.00","459","598","652"
"GRÄSSLE","94.34","95.74","94.63","457","685","78"
"WEILER","94.34","96.97","90.29","457","609","255"
"BELET","94.35","99.64","89.44","455","165","290"
"HAUG","94.35","96.96","93.08","455","611","146"
"LÓPEZ AGUILAR","94.37","97.14","85.96","454","586","418"
"BEARDER","94.38","96.86","84.90","450","627","452"
"DE MITA","94.38","96.04","49.39","450","676","754"
"FLECKENSTEIN","94.38","96.52","85.61","450","646","433"
"MATIAS","94.38","100.00","86.83","450","1","388"
"JAHR","94.46","95.67","94.40","449","687","87"
"DAVIES","94.47","95.47","85.79","447","695","427"
"WEBER","94.47","98.78","72.19","447","299","663"
