Name,Party,Country,Loyalty to political group,Loyalty to national party,Participation in roll-call votes,,,
DÍAZ DE MERA GARCÍA CONSUEGRA Agustín,EPP,Spain,96.29,99.06,82.88
DĂNCILĂ Vasilica Viorica,S&D,Romania,97.63,99.06,84.37
PALIADELI Chrysoula,S&D,Greece,95.85,99.06,67.46
JORDAN Romana,EPP,Slovenia,96.29,99.06,88.23
AUDY Jean-Pierre,EPP,France,96.38,99.05,97.11
GUTIÉRREZ PRIETO Sergio,S&D,Spain,95.55,99.05,70.77
GOLLNISCH Bruno,NI,France,0.00,99.04,84.69
GIEGOLD Sven,Greens/EFA,Germany,98.90,99.04,92.99
PROTASIEWICZ Jacek,EPP,Poland,95.72,99.04,72.22
SIMPSON Brian,S&D,United Kingdom,88.93,99.03,90.19
THYSSEN Marianne,EPP,Belgium,94.12,99.02,83.36
BRADBOURN Philip,ECR,United Kingdom,96.36,99.02,62.89
KACZMAREK Filip,EPP,Poland,96.23,99.01,96.06
ZVER Milan,EPP,Slovenia,97.64,99.01,88.78
SCHROEDTER Elisabeth,Greens/EFA,Germany,98.89,99.00,95.89
KARIŅŠ Krišjānis,EPP,Latvia,96.08,99.00,93.03
IBRISAGIC Anna,EPP,Sweden,81.02,98.98,89.46
HANDZLIK Małgorzata,EPP,Poland,95.61,98.98,91.94
WESTPHAL Kerstin,S&D,Germany,97.28,98.97,81.34
OBIOLS Raimon,S&D,Spain,95.44,98.97,81.86
RÜBIG Paul,EPP,Austria,93.88,98.97,95.86
MATULA Iosif,EPP,Romania,97.75,98.97,99.41
IOTOVA Iliana Malinova,S&D,Bulgaria,97.55,98.96,75.54
GALLAGHER Pat the Cope,ALDE/ADLE,Ireland,87.17,98.96,87.10
NEVEĎALOVÁ Katarína,S&D,Slovakia,97.39,98.96,83.13
BALČYTIS Zigmantas,S&D,Lithuania,97.92,98.96,68.50
LE PEN Marine,NI,France,0.00,98.96,67.29
BESSET Jean-Paul,Greens/EFA,France,98.33,98.95,81.84
SEEBER Richard,EPP,Austria,93.78,98.95,97.04
BASTOS Regina,EPP,Portugal,96.14,98.93,90.49
ŁUKACIJEWSKA Elżbieta Katarzyna,EPP,Poland,96.48,98.93,89.79
IRIGOYEN PÉREZ María,S&D,Spain,95.52,98.93,97.35
MUÑIZ DE URQUIZA María,S&D,Spain,94.59,98.92,89.47
FLAUTRE Hélène,Greens/EFA,France,98.42,98.92,80.10
BORISSOV Preslav,EPP,Bulgaria,97.33,98.91,83.59
LEGUTKO Ryszard Antoni,ECR,Poland,87.64,98.91,77.65
GYÜRK András,EPP,Hungary,95.15,98.91,69.98
ZWIEFKA Tadeusz,EPP,Poland,96.06,98.90,90.46
ARIAS ECHEVERRÍA Pablo,EPP,Spain,96.24,98.90,85.19
GRZYB Andrzej,EPP,Poland,95.60,98.89,91.08
PARGNEAUX Gilles,S&D,France,94.98,98.89,89.04
MARCINKIEWICZ Bogdan Kazimierz,EPP,Poland,96.35,98.89,90.49
MAŇKA Vladimír,S&D,Slovakia,97.98,98.88,92.37
SCHMIDT Olle,ALDE/ADLE,Sweden,93.14,98.87,94.37
SCHULZ Werner,Greens/EFA,Germany,98.76,98.87,90.60
BARBAGALLO Giovanni,S&D,Italy,98.87,98.87,50.34
GUERRERO SALOM Enrique,S&D,Spain,96.10,98.87,86.54
SCOTTÀ Giancarlo,EFD,Italy,85.28,98.86,83.75
CLIVETI Minodora,S&D,Romania,97.65,98.86,92.88
HELLVIG Eduard-Raul,ALDE/ADLE,Romania,96.95,98.86,62.06
MORIN-CHARTIER Elisabeth,EPP,France,96.30,98.85,95.04
BATTEN Gerard,EFD,United Kingdom,52.33,98.84,68.06
ZÉRIBI Karim,Greens/EFA,France,98.84,98.84,78.27
GEIER Jens,S&D,Germany,95.75,98.83,93.19
MIGALSKI Marek Henryk,ECR,Poland,86.45,98.82,89.77
GÁLL-PELCZ Ildikó,EPP,Hungary,95.53,98.82,90.46
GRANDES PASCUAL Luis de,EPP,Spain,95.93,98.82,77.99
KAZAK Metin,ALDE/ADLE,Bulgaria,94.53,98.82,93.43
GIANNAKOU Marietta,EPP,Greece,91.96,98.82,84.40
SANCHEZ-SCHMID Marie-Thérèse,EPP,France,95.63,98.81,85.89
AGNEW John Stuart,EFD,United Kingdom,52.77,98.80,91.87
UGGIAS Giommaria,ALDE/ADLE,Italy,87.13,98.80,93.54
LARSEN-JENSEN Claus,S&D,Denmark,87.85,98.80,78.19
CHICHESTER Giles,ECR,United Kingdom,96.30,98.80,82.52
CASHMAN Michael,S&D,United Kingdom,90.48,98.79,70.02
PLENKOVIĆ Andrej,EPP,Croatia,97.87,98.79,90.40
GABRIEL Mariya,EPP,Bulgaria,96.99,98.79,93.55
CAMP Wim van de,EPP,Netherlands,93.02,98.78,93.89
SAUDARGAS Algirdas,EPP,Lithuania,97.27,98.78,89.58
WEBER Henri,S&D,France,94.47,98.78,72.19
SILAGHI Ovidiu Ioan,ALDE/ADLE,Romania,96.39,98.77,84.34
CLARK Derek Roland,EFD,United Kingdom,52.41,98.77,79.70
DE KEYSER Véronique,S&D,Belgium,97.35,98.77,86.24
FIDANZA Carlo,EPP,Italy,94.53,98.77,88.84
BORZAN Biljana,S&D,Croatia,98.08,98.76,88.63
PAULSEN Marit,ALDE/ADLE,Sweden,93.40,98.76,93.02
BUŠIĆ Zdravka,EPP,Croatia,98.45,98.75,97.43
BÁNKI Erik,EPP,Hungary,96.11,98.74,81.05
LAMASSOURE Alain,EPP,France,96.74,98.73,82.89
HÄFNER Gerald,Greens/EFA,Germany,98.65,98.72,90.62
STOLOJAN Theodor Dumitru,EPP,Romania,97.25,98.72,92.53
KIRILOV Evgeni,S&D,Bulgaria,96.86,98.72,91.57
WESTLUND Åsa,S&D,Sweden,83.72,98.72,65.21
McGUINNESS Mairead,EPP,Ireland,92.87,98.72,86.44
RIVASI Michèle,Greens/EFA,France,98.33,98.71,82.43
FERNANDES José Manuel,EPP,Portugal,95.48,98.71,94.01
CAVADA Jean-Marie,EPP,France,93.27,98.71,90.98
TAYLOR Rebecca,ALDE/ADLE,United Kingdom,95.91,98.71,85.85
LOPE FONTAGNÉ Verónica,EPP,Spain,95.60,98.70,87.29
WAŁĘSA Jarosław Leszek,EPP,Poland,95.83,98.70,82.99
PANAYOTOV Vladko Todorov,ALDE/ADLE,Bulgaria,94.77,98.70,94.66
